supply_point_index,x_coordinate,y_coordinate,total_parking_slots,existing_num_SCS,existing_num_FCS,,,smax,,,,,
40,49.12900754,27.62985572,24,7,6,,,3800,,,,,
41,29.59586269,40.78742556,21,3,4,,,2200,,,,,
42,49.19259261,40.25090423,30,11,4,,,3800,,,,,
43,43.40343976,48.64574955,33,6,10,,,5200,,,,,
44,7.73322309,56.5579532,18,1,6,,,2600,,,,,
45,36.7348354,40.1369401,31,7,6,,,3800,,,,,
46,26.29148815,40.61401679,28,3,8,,,3800,,,,,
47,49.82721658,50.44335522,21,5,1,,,1400,,,,,
48,23.79547671,40.24389798,28,7,10,,,5400,,,,,
49,8.930118351,42.76853671,30,7,13,,,6600,,,,,
50,30.25059688,26.56687365,30,7,8,,,4600,,,,,
51,3.353976196,39.7531005,12,4,1,,,1200,,,,,
52,30.17784757,56.8668828,27,3,7,,,3400,,,,,
53,43.92297742,47.48504683,34,2,16,,,6800,,,,,
54,45.36497648,33.54635969,32,3,10,,,4600,,,,,
55,3.64739072,40.83671221,16,3,1,,,1000,,,,,
56,31.37293208,45.06347631,29,6,9,,,4800,,,,,
57,17.01581051,2.803664233,17,5,1,,,1400,,,,,
58,0.247971196,41.8961649,20,8,3,,,2800,,,,,
59,50.86657015,20.6674545,23,7,3,,,2600,,,,,
60,20.80918181,1.845063458,10,2,3,,,1600,,,,,
61,2.848185685,59.78774145,11,3,0,,,600,,,,,
62,29.49958777,46.37470886,31,5,10,,,5000,,,,,
63,48.30898518,53.07765932,18,6,5,,,3200,,,,,
64,11.54492104,31.36086093,20,3,2,,,1400,,,,,
65,27.82999568,35.65146012,33,4,11,,,5200,,,,,
66,16.70323051,14.83442403,14,2,2,,,1200,,,,,
67,42.21573067,47.48297955,33,8,13,,,6800,,,,,
68,33.16181102,43.17732827,27,6,9,,,4800,,,,,
69,40.22475027,18.35718707,30,5,6,,,3400,,,,,
70,51.82392503,35.39985728,29,2,8,,,3600,,,,,
71,49.58733916,36.44787444,35,12,7,,,5200,,,,,
72,40.25531888,57.65183063,24,10,1,,,2400,,,,,
73,53.37176133,33.69187574,27,5,4,,,2600,,,,,
74,24.58190915,3.787539582,11,3,1,,,1000,,,,,
75,28.23648628,46.45107301,33,3,15,,,6600,,,,,
76,41.84811989,4.258886252,10,4,2,,,1600,,,,,
77,47.82777663,24.49076987,29,7,11,,,5800,,,,,
78,43.94538341,29.60958946,36,11,8,,,5400,,,,,
79,32.89181416,46.87583003,30,7,6,,,3800,,,,,
80,38.26421743,39.71265108,25,8,9,,,5200,,,,,
81,51.57725799,46.89401311,35,7,7,,,4200,,,,,
82,22.77180727,47.07198179,22,6,7,,,4000,,,,,
83,46.16881376,25.84184377,26,7,6,,,3800,,,,,
84,1.323761117,47.35734415,8,5,2,,,1800,,,,,
85,18.54576635,43.91109217,26,9,7,,,4600,,,,,
86,21.16214173,47.83327428,27,6,7,,,4000,,,,,
87,23.24435677,40.04563679,24,5,5,,,3000,,,,,
88,0.064818758,9.008559498,17,4,1,,,1200,,,,,
89,49.83153499,47.82604485,31,3,10,,,4600,,,,,
90,17.00854602,18.23762131,26,11,5,,,4200,,,,,
91,28.68350088,47.61832224,36,3,12,,,5400,,,,,
92,39.02009598,5.800271657,19,6,3,,,2400,,,,,
93,24.91276154,56.32938424,27,8,6,,,4000,,,,,
94,29.78003137,53.11054972,30,7,9,,,5000,,,,,
95,45.47120394,20.99941388,24,3,4,,,2200,,,,,
96,30.31839558,33.38833529,32,5,10,,,5000,,,,,
97,36.21883863,22.23576563,32,4,14,,,6400,,,,,
98,42.93691547,38.12244184,28,7,5,,,3400,,,,,
99,19.59026266,3.830284196,24,2,11,,,4800,,,,,
